rownum,utt_len,uID,langtype,corpus,file,name,role,age,sex,group,SES,Y,M,D,agemonth,who,Target,Repetition,w,mw_stem,pos_c,t_type
14065,1,u204,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,belly,belly;button,n;n;n,q
14066,1,u205,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,bay,belly;button,n;n;n,p
14067,5,u206,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,does he have anything on,do he have anything on,mod pro v pro prep,q
14068,3,u207,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,do you button,do you button,mod pro v,q
14069,5,u208,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,does he have anything on,do he have anything on,mod pro v pro prep,q
14070,3,u209,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby has bay,baby have belly;button,n v n;n;n,p
14071,1,u210,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,bay,belly;button,n;n;n,p
14072,1,u211,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,bay,belly;button,n;n;n,p
14073,2,u212,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,sit there,sit there,v adv,p
14074,2,u213,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,sit there,sit there,v adv,p
14075,7,u214,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,does the baby have no clothes on,do the baby have no clothes on,mod det n v qn n adv,q
14076,3,u215,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,no clothes on,no clothes on,qn n adv,p
14077,1,u216,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,yeah,yeah,co,p
14078,5,u217,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,he has no clothes on,he have no clothes on,pro v qn n adv,p
14079,3,u218,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,xxx there clothes,there clothes,adv n,p
14080,6,u219,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,does the baby have shoes on,do the baby have shoe on,mod det n v n adv,q
14081,5,u220,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby have shoes on her,baby have shoe on her,n v n prep pro,q
14082,1,u221,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,shoes,shoe,n,q
14083,1,u222,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,okay,okay,co,p
14084,3,u223,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,oh good honey,oh good honey,co adj n,p
14085,7,u224,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,you're going to do hair now huh,you;be go to do hair now huh,pro;aux part inf v n adv co,p
14086,1,u225,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,see,see,v,p
14087,4,u226,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,see the baby's hair,see the baby;s hair,v det n;poss n,q
14088,4,u227,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,okay how about Georgie,okay how about Georgie,co adv prep n,q
14089,4,u228,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,let's do Georgie too,let;us do Georgie too,v;pro v n post,p
14090,9,u229,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what are you gonna do for the babies huh,what be you gonna do for the baby huh,pro aux pro mod v prep det n co,q
14091,7,u230,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what are you going to do honey,what be you go to do honey,pro aux pro part inf v n,q
14092,3,u231,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what's in there,what;be in there,pro;cop prep adv,q
14093,2,u232,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,that's shampoo,that;be shampoo,pro;cop n,p
14094,2,u233,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,that's shampoo,that;be shampoo,pro;cop n,q
14095,7,u234,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,are you going to shampoo the baby,be you go to shampoo the baby,cop pro part inf v det n,q
14096,1,u235,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby,baby,n,p
14097,3,u236,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what's in there,what;be in there,pro;cop prep adv,q
14098,3,u237,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what's in there,what;be in there,pro;cop prep adv,q
14099,1,u238,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,shampoo,shampoo,n,p
14100,9,u239,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,there I think you have enough shampoo on it,there I think you have enough shampoo on it,adv pro v pro v adj n prep pro,p
14101,7,u240,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,are you gonna wash the baby's hair,be you gonna wash the baby;s hair,cop pro mod v det n;poss n,q
14102,2,u241,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby hair,baby hair,n n,p
14103,2,u242,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,rub it,rub it,v pro,q
14104,2,u243,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,wash it,wash it,v pro,q
14105,2,u244,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,wash it,wash it,v pro,q
14106,1,u245,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,o,oh,co,p
14107,1,u246,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,good,good,adj,p
14108,1,u247,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,xxx,,,p
14109,1,u248,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,xxx,,,p
14110,1,u249,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby,baby,n,p
14111,3,u250,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,I'm washing baby,I;be wash baby,pro;aux part n,p
14112,2,u251,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,uh baby,baby,n,p
14113,8,u252,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,Georgie's hair is kind of a mess huh,Georgie;s hair be kind of a mess huh,n;poss n aux adj prep det n co,q
14114,7,u253,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,Georgie's hair is kind of a mess,Georgie;s hair be kind of a mess,n;poss n aux adj prep det n,p
